RESTAURANT_ID,DATE,STAFFING_BLOCK,STAFF_ON_DUTY
R10007,2018-07-21,3,3
R10006,2018-05-11,2,4
R10007,2018-01-10,2,4
R10007,2018-11-12,1,6
R10006,2018-01-20,1,5
R10002,2018-04-04,1,10
R10001,2018-10-27,2,4
R10006,2018-03-15,3,3
R10002,2018-06-11,1,7
R10004,2018-07-16,1,8
R10002,2018-12-16,2,5
R10007,2018-09-27,3,2
R10007,2018-12-23,2,4
R10006,2018-08-20,1,4
R10001,2018-06-04,3,6
R10006,2018-12-26,1,6
R10008,2018-04-03,3,4
R10004,2018-12-25,2,8
R10002,2018-01-19,1,9
R10008,2018-11-25,3,4
R10008,2018-10-22,1,7
R10003,2018-06-18,1,8
R10007,2018-09-17,2,4
R10007,2018-09-20,3,3
R10003,2018-06-14,1,8
R10002,2018-10-28,3,3
R10003,2018-05-07,1,8
R10008,2018-01-08,3,4
R10001,2018-11-29,2,3
R10005,2018-10-28,3,3
R10007,2018-01-31,1,4
R10008,2018-12-12,3,4
R10001,2018-08-10,1,3
R10008,2018-04-01,2,5
R10004,2018-10-01,2,7
R10001,2018-10-31,3,8
R10004,2018-09-21,3,6
R10005,2018-02-24,2,4
R10004,2018-05-12,1,12
R10006,2018-02-06,2,4
R10002,2018-09-02,3,3
R10007,2018-04-27,3,3
R10003,2018-03-16,2,5
R10006,2018-02-23,3,3
R10008,2018-10-15,2,5
R10004,2018-07-28,1,8
R10003,2018-05-01,1,8
R10006,2018-10-13,3,4
R10002,2018-08-22,3,3
R10002,2018-12-19,2,5
R10002,2018-04-15,3,3
R10007,2018-07-03,1,4
R10002,2018-08-20,3,2
R10003,2018-04-16,1,9
R10001,2018-05-05,3,7
R10004,2018-04-10,3,6
R10002,2018-01-21,2,5
R10003,2018-02-13,2,5
R10005,2018-07-07,1,6
R10001,2018-01-04,2,3
R10006,2018-03-26,3,3
R10005,2018-08-10,2,3
R10008,2018-11-02,1,8
R10004,2018-09-08,1,11
R10007,2018-02-10,3,3
R10005,2018-07-01,1,6
R10008,2018-03-24,2,5
R10004,2018-03-29,3,6
R10001,2018-10-16,3,8
R10006,2018-03-08,1,6
R10002,2018-03-04,3,3
R10007,2018-10-17,3,3
R10003,2018-02-22,3,3
R10008,2018-07-13,3,3
R10001,2018-09-22,3,7
R10008,2018-03-28,3,6
R10004,2018-12-06,3,6
R10008,2018-03-24,3,6
R10002,2018-06-05,1,7
R10003,2018-09-13,1,8
R10005,2018-03-12,1,7
R10006,2018-10-28,2,4
R10001,2018-11-24,3,7
R10001,2018-03-16,2,5
R10006,2018-05-02,1,5
R10004,2018-02-26,1,13
R10005,2018-01-14,3,3
R10005,2018-05-25,3,3
R10008,2018-10-22,2,5
R10007,2018-04-14,1,6
R10003,2018-05-04,3,3
R10008,2018-12-30,2,5
R10005,2018-01-21,3,3
R10004,2018-01-04,2,6
R10001,2018-07-16,3,4
R10001,2018-10-10,3,8
R10002,2018-06-07,1,8
R10005,2018-01-19,3,3
R10006,2018-10-11,3,4
R10005,2018-05-01,3,3
R10004,2018-09-06,2,7
R10001,2018-11-03,3,8
R10006,2018-09-29,2,4
R10003,2018-05-04,1,8
R10001,2018-09-21,2,4
R10004,2018-12-08,3,6
R10005,2018-01-17,1,7
R10006,2018-10-19,2,4
R10005,2018-02-22,3,5
R10002,2018-04-20,2,5
R10003,2018-01-10,3,3
R10002,2018-03-15,3,3
R10001,2018-03-22,2,5
R10007,2018-06-05,3,3
R10007,2018-12-06,2,4
R10002,2018-06-28,2,4
R10002,2018-08-11,1,8
R10003,2018-07-23,1,7
R10008,2018-04-01,3,4
R10002,2018-11-28,1,10
R10003,2018-03-23,1,9
R10007,2018-12-21,2,4
R10007,2018-03-18,3,3
R10003,2018-10-04,3,3
R10003,2018-06-01,3,3
R10004,2018-02-25,3,6
R10006,2018-10-13,1,6
R10003,2018-09-21,3,3
R10004,2018-01-16,1,11
R10007,2018-11-08,3,3
R10002,2018-02-22,3,3
R10003,2018-11-08,1,9
R10007,2018-12-01,2,4
R10007,2018-03-17,2,4
R10004,2018-03-19,2,8
R10007,2018-07-13,3,3
R10005,2018-08-31,2,3
R10008,2018-12-09,1,8
R10004,2018-06-16,1,12
R10008,2018-07-21,3,3
R10007,2018-06-21,1,5
R10006,2018-08-13,1,4
R10005,2018-05-17,3,3
R10003,2018-02-16,3,3
R10001,2018-02-16,3,8
R10008,2018-02-28,2,5
R10001,2018-03-03,2,5
R10002,2018-02-01,2,5
R10008,2018-09-17,3,4
R10006,2018-05-27,2,4
R10004,2018-06-20,3,5
R10008,2018-03-07,3,6
R10001,2018-07-06,1,3
R10004,2018-04-29,2,8
R10008,2018-12-09,2,5
R10008,2018-11-28,2,5
R10002,2018-02-13,2,5
R10002,2018-02-04,1,10
R10004,2018-08-01,3,5
R10008,2018-02-21,3,4
R10005,2018-03-18,3,3
R10002,2018-10-03,3,3
R10001,2018-03-02,3,10
R10002,2018-11-04,3,3
R10008,2018-09-17,2,5
R10007,2018-12-05,3,3
R10001,2018-11-29,1,3
R10001,2018-10-27,1,2
R10004,2018-06-30,3,5
R10005,2018-01-30,1,7
R10005,2018-12-14,2,4
R10002,2018-12-18,3,3
R10003,2018-02-27,2,5
R10005,2018-03-13,1,7
R10007,2018-10-29,3,3
R10002,2018-04-04,3,3
R10007,2018-02-23,3,3
R10007,2018-10-12,3,3
R10005,2018-03-21,1,7
R10001,2018-06-02,2,3
R10005,2018-07-21,2,3
R10006,2018-01-19,3,3
R10008,2018-10-16,1,7
R10007,2018-08-13,1,5
R10006,2018-05-01,3,3
R10006,2018-10-11,1,6
R10002,2018-02-15,1,9
R10006,2018-01-16,2,4
R10008,2018-01-11,3,4
R10007,2018-07-18,2,3
R10007,2018-08-02,3,3
R10001,2018-06-06,1,3
R10005,2018-08-22,3,3
R10004,2018-05-03,3,6
R10008,2018-04-14,1,8
R10002,2018-08-03,1,8
R10008,2018-04-22,1,7
R10007,2018-09-16,2,4
R10004,2018-04-23,1,12
R10008,2018-01-16,1,7
R10007,2018-12-06,3,3
R10005,2018-11-13,3,3
R10005,2018-12-25,1,7
R10002,2018-03-14,1,10
R10007,2018-03-21,3,3
R10006,2018-06-28,2,3
R10004,2018-12-22,1,13
R10003,2018-07-05,1,7
R10004,2018-10-20,1,13
R10004,2018-10-25,3,6
R10004,2018-11-04,2,8
R10007,2018-09-25,3,3
R10007,2018-02-11,3,3
R10007,2018-03-07,3,3
R10001,2018-03-18,3,10
R10001,2018-11-14,1,3
R10005,2018-02-26,3,5
R10002,2018-06-09,3,3
